,class
"gi_635148703_ref_NR_120442.1_ Homo sapiens solute carrier family 26 (anion exchanger), member 5 (SLC26A5), transcript variant g, non-coding RNA",1
"gi_635148704_ref_NR_120443.1_ Homo sapiens solute carrier family 26 (anion exchanger), member 5 (SLC26A5), transcript variant h, non-coding RNA",1
"gi_635172884_ref_NR_120445.1_ Homo sapiens ets variant 1 (ETV1), transcript variant 8, non-coding RNA",1
"gi_237858710_ref_NR_027679.1_ Homo sapiens RPA interacting protein (RPAIN), transcript variant 8, non-coding RNA",1
"gi_565671796_ref_NR_109816.1_ Homo sapiens chromosome 9 open reading frame 84 (C9orf84), transcript variant 3, non-coding RNA",1
"gi_237858714_ref_NR_027682.1_ Homo sapiens RPA interacting protein (RPAIN), transcript variant 11, non-coding RNA",1
"gi_237858715_ref_NR_027683.1_ Homo sapiens RPA interacting protein (RPAIN), transcript variant 12, non-coding RNA",1
"gi_635172885_ref_NR_120448.1_ Homo sapiens signal sequence receptor, alpha (SSR1), transcript variant 3, non-coding RNA",1
"gi_237858717_ref_NR_027684.1_ Homo sapiens RPA interacting protein (RPAIN), transcript variant 13, non-coding RNA",1
"gi_237757298_ref_NR_027691.1_ Homo sapiens pannexin 2 (PANX2), transcript variant 3, non-coding RNA",1
"gi_237858598_ref_NR_027692.1_ Homo sapiens PHD finger protein 1 (PHF1), transcript variant 3, non-coding RNA",1
"gi_565671797_ref_NR_109829.1_ Homo sapiens cysteine conjugate-beta lyase, cytoplasmic (CCBL1), transcript variant 5, non-coding RNA",1
"gi_237858583_ref_NR_027702.1_ Homo sapiens cyclin-dependent kinase 10 (CDK10), transcript variant e, non-coding RNA",1
"gi_237858584_ref_NR_027703.1_ Homo sapiens cyclin-dependent kinase 10 (CDK10), transcript variant f, non-coding RNA",1
"gi_371877753_ref_NR_028407.2_ Homo sapiens armadillo repeat containing, X-linked 4 (ARMCX4), transcript variant 2, non-coding RNA",1
"gi_635574630_ref_NR_120480.1_ Homo sapiens interleukin 6 signal transducer (IL6ST), transcript variant 4, non-coding RNA",1
"gi_305855106_ref_NR_036605.1_ Homo sapiens geranylgeranyl diphosphate synthase 1 (GGPS1), transcript variant 3, non-coding RNA",1
"gi_239582770_ref_NR_027753.1_ Homo sapiens hedgehog acyltransferase-like (HHATL), transcript variant 2, non-coding RNA",1
"gi_238908522_ref_NR_027760.1_ Homo sapiens colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) (CSF2RA), transcript variant 11, non-coding RNA",1
"gi_239049633_ref_NR_027763.1_ Homo sapiens glycogen synthase 1 (muscle) (GYS1), transcript variant 3, non-coding RNA",1
"gi_568215751_ref_NR_109896.1_ Homo sapiens major facilitator superfamily domain containing 2A (MFSD2A), transcript variant 5, non-coding RNA",1
"gi_568215744_ref_NR_109901.1_ Homo sapiens transcription elongation factor A (SII), 1 (TCEA1), transcript variant 3, non-coding RNA",1
"gi_641451069_ref_NR_120531.1_ Homo sapiens glucuronidase, beta (GUSB), transcript variant 5, non-coding RNA",1
"gi_385862239_ref_NR_047675.1_ Homo sapiens chromosome 20 open reading frame 27 (C20orf27), transcript variant 4, non-coding RNA",1
"gi_241666466_ref_NR_027862.1_ Homo sapiens histone acetyltransferase 1 (HAT1), transcript variant 2, non-coding RNA",1
"gi_464402795_ref_NR_102334.1_ Homo sapiens WD repeat domain 72 (WDR72), transcript variant 3, non-coding RNA",1
"gi_525345446_ref_NR_103997.1_ Homo sapiens serine/threonine kinase-like domain containing 1 (STKLD1), transcript variant 2, non-coding RNA",1
"gi_241982816_ref_NR_027878.1_ Homo sapiens ADAM metallopeptidase domain 9 (ADAM9), transcript variant 2, non-coding RNA",1
"gi_241982798_ref_NR_027873.1_ Homo sapiens PAX3 and PAX7 binding protein 1 (PAXBP1), transcript variant 3, non-coding RNA",1
"gi_645912993_ref_NR_120603.1_ Homo sapiens odorant binding protein 2A (OBP2A), transcript variant beta, non-coding RNA",1
"gi_242117894_ref_NR_027882.1_ Homo sapiens BCL2-associated X protein (BAX), transcript variant epsilon, non-coding RNA",1
"gi_569026725_ref_NR_109976.1_ Homo sapiens chromosome 16 open reading frame 13 (C16orf13), transcript variant 5, non-coding RNA",1
"gi_569026727_ref_NR_109978.1_ Homo sapiens chromosome 16 open reading frame 13 (C16orf13), transcript variant 8, non-coding RNA",1
"gi_647570443_ref_NR_120610.1_ Homo sapiens phospholipase A1 member A (PLA1A), transcript variant 5, non-coding RNA",1
"gi_242247064_ref_NR_027941.1_ Homo sapiens COX11 cytochrome c oxidase copper chaperone (COX11), transcript variant 4, non-coding RNA",1
"gi_242247067_ref_NR_027942.1_ Homo sapiens COX11 cytochrome c oxidase copper chaperone (COX11), transcript variant 5, non-coding RNA",1
"gi_253314538_ref_NR_027991.1_ Homo sapiens apelin receptor (APLNR), transcript variant 2, non-coding RNA",1
"gi_570700856_ref_NR_110021.1_ Homo sapiens dyskeratosis congenita 1, dyskerin (DKC1), transcript variant 4, non-coding RNA",1
"gi_570700857_ref_NR_110022.1_ Homo sapiens dyskeratosis congenita 1, dyskerin (DKC1), transcript variant 5, non-coding RNA",1
"gi_570700858_ref_NR_110023.1_ Homo sapiens dyskeratosis congenita 1, dyskerin (DKC1), transcript variant 6, non-coding RNA",1
"gi_296040524_ref_NR_033663.1_ Homo sapiens erythropoietin receptor (EPOR), transcript variant 2, non-coding RNA",1
"gi_253970401_ref_NR_028040.1_ Homo sapiens GATS, stromal antigen 3 opposite strand (GATS), transcript variant 4, non-coding RNA",1
"gi_253970408_ref_NR_028041.1_ Homo sapiens glutamate receptor, metabotropic 8 (GRM8), transcript variant 3, non-coding RNA",1
"gi_254028260_ref_NR_028049.1_ Homo sapiens mitochondrial transcription termination factor 4 (MTERF4), transcript variant 2, non-coding RNA",1
"gi_254039598_ref_NR_028057.1_ Homo sapiens phosphatidylinositol-specific phospholipase C, X domain containing 1 (PLCXD1), transcript variant 2, non-coding RNA",1
"gi_254039637_ref_NR_028063.1_ Homo sapiens GRIP and coiled-coil domain containing 2 (GCC2), transcript variant 2, non-coding RNA",1
"gi_571026703_ref_NR_110083.1_ Homo sapiens ras homolog family member T1 (RHOT1), transcript variant 8, non-coding RNA",1
"gi_254553432_ref_NR_028102.1_ Homo sapiens THUMP domain containing 2 (THUMPD2), transcript variant 2, non-coding RNA",1
"gi_585636467_ref_NR_110601.1_ Homo sapiens phosphatidylglycerophosphate synthase 1 (PGS1), transcript variant 3, non-coding RNA",1
"gi_585636465_ref_NR_110602.1_ Homo sapiens phosphatidylglycerophosphate synthase 1 (PGS1), transcript variant 4, non-coding RNA",1
"gi_571330797_ref_NR_034173.2_ Homo sapiens vanin 2 (VNN2), transcript variant 3, non-coding RNA",1
"gi_571330801_ref_NR_034174.2_ Homo sapiens vanin 2 (VNN2), transcript variant 4, non-coding RNA",1
"gi_571330802_ref_NR_110143.1_ Homo sapiens vanin 2 (VNN2), transcript variant 8, non-coding RNA",1
"gi_571330795_ref_NR_110144.1_ Homo sapiens vanin 2 (VNN2), transcript variant 9, non-coding RNA",1
"gi_571330793_ref_NR_110145.1_ Homo sapiens vanin 2 (VNN2), transcript variant 6, non-coding RNA",1
"gi_571330803_ref_NR_110170.1_ Homo sapiens folylpolyglutamate synthase (FPGS), transcript variant 4, non-coding RNA",1
"gi_224809456_ref_NR_027297.1_ Homo sapiens homer scaffolding protein 3 (HOMER3), transcript variant 5, non-coding RNA",1
"gi_571330790_ref_NR_110171.1_ Homo sapiens U2 small nuclear RNA auxiliary factor 1-like 4 (U2AF1L4), transcript variant 3, non-coding RNA",1
"gi_571330798_ref_NR_110173.1_ Homo sapiens U2 small nuclear RNA auxiliary factor 1-like 4 (U2AF1L4), transcript variant 5, non-coding RNA",1
"gi_301129268_ref_NR_034176.1_ Homo sapiens RUN and FYVE domain containing 4 (RUFY4), transcript variant 2, non-coding RNA",1
"gi_256222931_ref_NR_028319.1_ Homo sapiens neuroligin 4, Y-linked (NLGN4Y), transcript variant 4, non-coding RNA",1
"gi_256985184_ref_NR_028323.1_ Homo sapiens solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6 (SLC5A6), transcript variant 2, non-coding RNA",1
"gi_654824944_ref_NR_104307.2_ Homo sapiens unc-51 like kinase 3 (ULK3), transcript variant 4, non-coding RNA",1
"gi_654824794_ref_NR_104308.2_ Homo sapiens unc-51 like kinase 3 (ULK3), transcript variant 5, non-coding RNA",1
"gi_654824864_ref_NR_104309.2_ Homo sapiens unc-51 like kinase 3 (ULK3), transcript variant 6, non-coding RNA",1
"gi_572883041_ref_NR_110231.1_ Homo sapiens thyroid hormone receptor interactor 10 (TRIP10), transcript variant 4, non-coding RNA",1
"gi_572882853_ref_NR_110242.1_ Homo sapiens odorant binding protein 2B (OBP2B), transcript variant 3, non-coding RNA",1
"gi_573014835_ref_NR_110261.1_ Homo sapiens Rh family, C glycoprotein (RHCG), transcript variant 2, non-coding RNA",1
"gi_573014833_ref_NR_110266.1_ Homo sapiens transmembrane protein 161B (TMEM161B), transcript variant 4, non-coding RNA",1
"gi_109148511_ref_NR_003089.1_ Homo sapiens OTU deubiquitinase, ubiquitin aldehyde binding 1 (OTUB1), transcript variant 2, non-coding RNA",1
"gi_257796259_ref_NR_028435.1_ Homo sapiens aminomethyltransferase (AMT), transcript variant 5, non-coding RNA",1
"gi_543583794_ref_NR_104212.1_ Homo sapiens BRCA1 associated RING domain 1 (BARD1), transcript variant 6, non-coding RNA",1
"gi_574288617_ref_NR_110296.1_ Homo sapiens ligase I, DNA, ATP-dependent (LIG1), transcript variant 4, non-coding RNA",1
"gi_258645156_ref_NR_028477.1_ Homo sapiens RNA binding motif protein, X-linked (RBMX), transcript variant 4, non-coding RNA",1
"gi_258645155_ref_NR_028476.1_ Homo sapiens RNA binding motif protein, X-linked (RBMX), transcript variant 3, non-coding RNA",1
"gi_547235736_ref_NR_104299.1_ Homo sapiens polymerase (DNA directed), mu (POLM), transcript variant 4, non-coding RNA",1
"gi_557878751_ref_NR_104587.1_ Homo sapiens ankyrin repeat domain 10 (ANKRD10), transcript variant 4, non-coding RNA",1
"gi_574288970_ref_NR_110305.1_ Homo sapiens sideroflexin 4 (SFXN4), transcript variant 2, non-coding RNA",1
"gi_566559999_ref_NR_109843.1_ Homo sapiens sperm specific antigen 2 (SSFA2), transcript variant 6, non-coding RNA",1
"gi_659667999_ref_NR_122106.1_ Homo sapiens WD repeat containing planar cell polarity effector (WDPCP), transcript variant 3, non-coding RNA",1
"gi_260166682_ref_NR_028581.1_ Homo sapiens glucose 6 phosphatase, catalytic, 3 (G6PC3), transcript variant 3, non-coding RNA",1
"gi_260275535_ref_NR_028588.1_ Homo sapiens enoyl-CoA delta isomerase 2 (ECI2), transcript variant 4, non-coding RNA",1
"gi_661903036_ref_NR_123714.1_ Homo sapiens diacylglycerol kinase, eta (DGKH), transcript variant 7, non-coding RNA",1
"gi_661860332_ref_NR_123716.1_ Homo sapiens macrophage erythroblast attacher (MAEA), transcript variant 7, non-coding RNA",1
"gi_261824032_ref_NR_029413.1_ Homo sapiens MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase (MFNG), transcript variant 3, non-coding RNA",1
"gi_261862355_ref_NR_029417.1_ Homo sapiens serine hydroxymethyltransferase 2 (mitochondrial) (SHMT2), transcript variant 8, non-coding RNA",1
"gi_574957269_ref_NR_110328.1_ Homo sapiens major facilitator superfamily domain containing 1 (MFSD1), transcript variant 5, non-coding RNA",1
"gi_110671311_ref_NR_003102.1_ Homo sapiens protection of telomeres 1 (POT1), transcript variant 2, non-coding RNA",1
"gi_261878585_ref_NR_029427.1_ Homo sapiens WD repeat domain 13 (WDR13), transcript variant 3, non-coding RNA",1
"gi_110671312_ref_NR_003103.1_ Homo sapiens protection of telomeres 1 (POT1), transcript variant 3, non-coding RNA",1
"gi_110671315_ref_NR_003104.1_ Homo sapiens protection of telomeres 1 (POT1), transcript variant 5, non-coding RNA",1
"gi_236460817_ref_NR_027653.1_ Homo sapiens Kruppel-like factor 6 (KLF6), transcript variant D, non-coding RNA",1
"gi_662236860_ref_NR_123728.1_ Homo sapiens spermatogenesis associated 18 (SPATA18), transcript variant 3, non-coding RNA",1
"gi_263191158_ref_NR_030725.1_ Homo sapiens regulator of chromosome condensation 1 (RCC1), transcript variant 5, non-coding RNA",1
"gi_263191185_ref_NR_030726.1_ Homo sapiens regulator of chromosome condensation 1 (RCC1), transcript variant 6, non-coding RNA",1
"gi_543583795_ref_NR_104215.1_ Homo sapiens BRCA1 associated RING domain 1 (BARD1), transcript variant 7, non-coding RNA",1
"gi_554790425_ref_NR_104399.1_ Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), transcript variant 2, non-coding RNA",1
"gi_584277132_ref_NR_110535.1_ Homo sapiens erb-b2 receptor tyrosine kinase 2 (ERBB2), transcript variant 6, non-coding RNA",1
"gi_543583796_ref_NR_104216.1_ Homo sapiens BRCA1 associated RING domain 1 (BARD1), transcript variant 8, non-coding RNA",1
"gi_554790422_ref_NR_104400.1_ Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), transcript variant 3, non-coding RNA",1
"gi_493799667_ref_NR_102733.1_ Homo sapiens caspase 9, apoptosis-related cysteine peptidase (CASP9), transcript variant 5, non-coding RNA",1
"gi_663071207_ref_NR_123740.1_ Homo sapiens ribosomal modification protein rimK-like family member B (RIMKLB), transcript variant 3, non-coding RNA",1
"gi_113722121_ref_NR_003149.1_ Homo sapiens adhesion G protein-coupled receptor V1 (ADGRV1), transcript variant 2, non-coding RNA",1
"gi_663429636_ref_NR_125327.1_ Homo sapiens spermatogenesis associated 9 (SPATA9), transcript variant 4, non-coding RNA",1
"gi_663429635_ref_NR_125328.1_ Homo sapiens spermatogenesis associated 9 (SPATA9), transcript variant 6, non-coding RNA",1
"gi_663429637_ref_NR_125330.1_ Homo sapiens spermatogenesis associated 9 (SPATA9), transcript variant 5, non-coding RNA",1
"gi_269308191_ref_NR_030770.1_ Homo sapiens cerebral cavernous malformation 2 (CCM2), transcript variant 5, non-coding RNA",1
"gi_345842468_ref_NR_027513.2_ Homo sapiens cyclin D-type binding-protein 1 (CCNDBP1), transcript variant 3, non-coding RNA",1
"gi_345842469_ref_NR_027514.2_ Homo sapiens cyclin D-type binding-protein 1 (CCNDBP1), transcript variant 4, non-coding RNA",1
"gi_400154056_ref_NR_073102.1_ Homo sapiens zinc finger protein 551 (ZNF551), transcript variant 3, non-coding RNA",1
"gi_289191402_ref_NR_026826.2_ Homo sapiens integrator complex subunit 9 (INTS9), transcript variant 3, non-coding RNA",1
"gi_664806109_ref_NR_125343.1_ Homo sapiens solute carrier family 29 (equilibrative nucleoside transporter), member 2 (SLC29A2), transcript variant 4, non-coding RNA",1
"gi_372620343_ref_NR_045998.1_ Homo sapiens cyclin D-type binding-protein 1 (CCNDBP1), transcript variant 5, non-coding RNA",1
"gi_544583600_ref_NR_104247.1_ Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 11 (SLC2A11), transcript variant 5, non-coding RNA",1
"gi_386642863_ref_NR_047676.1_ Homo sapiens threonyl-tRNA synthetase (TARS), transcript variant 4, non-coding RNA",1
"gi_372620344_ref_NR_045999.1_ Homo sapiens cyclin D-type binding-protein 1 (CCNDBP1), transcript variant 6, non-coding RNA",1
"gi_386642864_ref_NR_047677.1_ Homo sapiens threonyl-tRNA synthetase (TARS), transcript variant 5, non-coding RNA",1
"gi_284925116_ref_NR_033289.1_ Homo sapiens glycerol kinase 5 (putative) (GK5), transcript variant 2, non-coding RNA",1
"gi_371872695_ref_NR_045815.1_ Homo sapiens activating transcription factor 7 interacting protein 2 (ATF7IP2), transcript variant 3, non-coding RNA",1
"gi_665821326_ref_NR_125352.1_ Homo sapiens BSD domain containing 1 (BSDC1), transcript variant 6, non-coding RNA",1
"gi_538260604_ref_NR_104150.1_ Homo sapiens tripartite motif containing 46 (TRIM46), transcript variant 9, non-coding RNA",1
"gi_386642865_ref_NR_047678.1_ Homo sapiens threonyl-tRNA synthetase (TARS), transcript variant 6, non-coding RNA",1
"gi_395865395_ref_NR_073040.1_ Homo sapiens neuroepithelial cell transforming 1 (NET1), transcript variant 3, non-coding RNA",1
"gi_665821330_ref_NR_125356.1_ Homo sapiens polypyrimidine tract binding protein 2 (PTBP2), transcript variant 9, non-coding RNA",1
"gi_291575132_ref_NR_033413.1_ Homo sapiens solute carrier family 29 (equilibrative nucleoside transporter), member 3 (SLC29A3), transcript variant 3, non-coding RNA",1
"gi_665821331_ref_NR_125357.1_ Homo sapiens polypyrimidine tract binding protein 2 (PTBP2), transcript variant 8, non-coding RNA",1
"gi_291575133_ref_NR_033414.1_ Homo sapiens solute carrier family 29 (equilibrative nucleoside transporter), member 3 (SLC29A3), transcript variant 4, non-coding RNA",1
"gi_292781191_ref_NR_033436.1_ Homo sapiens PHD finger protein 14 (PHF14), transcript variant 4, non-coding RNA",1
"gi_666335707_ref_NR_125358.1_ Homo sapiens Fc receptor-like 2 (FCRL2), transcript variant 3, non-coding RNA",1
"gi_294660763_ref_NR_033488.1_ Homo sapiens abhydrolase domain containing 16A (ABHD16A), transcript variant 3, non-coding RNA",1
"gi_294660766_ref_NR_033489.1_ Homo sapiens abhydrolase domain containing 16A (ABHD16A), transcript variant 4, non-coding RNA",1
"gi_295842511_ref_NR_033649.1_ Homo sapiens splicing factor 1 (SF1), transcript variant 7, non-coding RNA",1
"gi_295842512_ref_NR_033650.1_ Homo sapiens splicing factor 1 (SF1), transcript variant 8, non-coding RNA",1
"gi_295849291_ref_NR_033654.1_ Homo sapiens tachykinin 3 (TAC3), transcript variant 3, non-coding RNA",1
"gi_666875877_ref_NR_125370.1_ Homo sapiens SH3-domain GRB2-like 3 (SH3GL3), transcript variant 4, non-coding RNA",1
"gi_569026729_ref_NR_109969.1_ Homo sapiens colony stimulating factor 1 receptor (CSF1R), transcript variant 3, non-coding RNA",1
"gi_460417323_ref_NR_102318.1_ Homo sapiens ARP3 actin-related protein 3 homolog (yeast) (ACTR3), transcript variant 3, non-coding RNA",1
"gi_544186135_ref_NR_104230.1_ Homo sapiens exosome component 2 (EXOSC2), transcript variant 4, non-coding RNA",1
"gi_395132431_ref_NR_073016.1_ Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 3 (ST3GAL3), transcript variant 19, non-coding RNA",1
"gi_296278247_ref_NR_033674.1_ Homo sapiens DiGeorge syndrome critical region gene 2 (DGCR2), transcript variant 5, non-coding RNA",1
"gi_296317335_ref_NR_033675.1_ Homo sapiens voltage-dependent anion channel 2 (VDAC2), transcript variant 4, non-coding RNA",1
"gi_395132432_ref_NR_073017.1_ Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 3 (ST3GAL3), transcript variant 20, non-coding RNA",1
"gi_669033313_ref_NR_125440.1_ Homo sapiens CTP synthase 1 (CTPS1), transcript variant 3, non-coding RNA",1
"gi_296923745_ref_NR_033694.1_ Homo sapiens PDZ domain containing 9 (PDZD9), transcript variant 2, non-coding RNA",1
"gi_669174658_ref_NR_027946.2_ Homo sapiens ELKS/RAB6-interacting/CAST family member 1 (ERC1), transcript variant alpha, non-coding RNA",1
"gi_395132433_ref_NR_073018.1_ Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 3 (ST3GAL3), transcript variant 21, non-coding RNA",1
"gi_669174659_ref_NR_027948.2_ Homo sapiens ELKS/RAB6-interacting/CAST family member 1 (ERC1), transcript variant beta, non-coding RNA",1
"gi_333609226_ref_NR_038241.1_ Homo sapiens vezatin, adherens junctions transmembrane protein (VEZT), transcript variant 2, non-coding RNA",1
"gi_669174660_ref_NR_027949.2_ Homo sapiens ELKS/RAB6-interacting/CAST family member 1 (ERC1), transcript variant gamma, non-coding RNA",1
"gi_297206886_ref_NR_033698.1_ Homo sapiens farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 4, non-coding RNA",1
"gi_669174661_ref_NR_047510.2_ Homo sapiens N-6 adenine-specific DNA methyltransferase 1 (putative) (N6AMT1), transcript variant 3, non-coding RNA",1
"gi_317008578_ref_NR_037687.1_ Homo sapiens plexin C1 (PLXNC1), transcript variant 2, non-coding RNA",1
"gi_297632393_ref_NR_027910.2_ Homo sapiens calbindin 2 (CALB2), transcript variant CALB2b, non-coding RNA",1
"gi_325053646_ref_NR_037921.1_ Homo sapiens mitochondrial antiviral signaling protein (MAVS), transcript variant 2, non-coding RNA",1
"gi_395132434_ref_NR_073019.1_ Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 3 (ST3GAL3), transcript variant 22, non-coding RNA",1
"gi_333609227_ref_NR_038242.1_ Homo sapiens vezatin, adherens junctions transmembrane protein (VEZT), transcript variant 3, non-coding RNA",1
"gi_440918728_ref_NR_073562.1_ Homo sapiens Rab geranylgeranyltransferase, beta subunit (RABGGTB), transcript variant 2, non-coding RNA",1
"gi_359807117_ref_NR_045609.1_ Homo sapiens Kin17 DNA and RNA binding protein (KIN), transcript variant 3, non-coding RNA",1
"gi_395132437_ref_NR_073020.1_ Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 3 (ST3GAL3), transcript variant 23, non-coding RNA",1
"gi_524593476_ref_NR_103871.1_ Homo sapiens protein kinase, AMP-activated, beta 2 non-catalytic subunit (PRKAB2), transcript variant 2, non-coding RNA",1
"gi_299829248_ref_NR_033902.1_ Homo sapiens cell cycle and apoptosis regulator 2 (CCAR2), transcript variant 2, non-coding RNA",1
"gi_674274960_ref_NR_125850.1_ Homo sapiens MAM domain containing 2 (MAMDC2), transcript variant 2, non-coding RNA",1
"gi_675269493_ref_NR_125898.1_ Homo sapiens calcitonin-related polypeptide alpha (CALCA), transcript variant 4, non-coding RNA",1
"gi_395132440_ref_NR_073023.1_ Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 3 (ST3GAL3), transcript variant 25, non-coding RNA",1
"gi_544583601_ref_NR_104249.1_ Homo sapiens ZXD family zinc finger C (ZXDC), transcript variant 3, non-coding RNA",1
"gi_384551661_ref_NR_047582.1_ Homo sapiens vacuolar protein sorting 13 homolog B (yeast) (VPS13B), transcript variant 6, non-coding RNA",1
"gi_383792161_ref_NR_047549.1_ Homo sapiens solute carrier family 25 (aspartate/glutamate carrier), member 12 (SLC25A12), transcript variant 2, non-coding RNA",1
"gi_300797722_ref_NR_034146.1_ Homo sapiens sirtuin 2 (SIRT2), transcript variant 4, non-coding RNA",1
"gi_501355622_ref_NR_103475.1_ Homo sapiens RUN and FYVE domain containing 2 (RUFY2), transcript variant 4, non-coding RNA",1
"gi_501355643_ref_NR_103476.1_ Homo sapiens RUN and FYVE domain containing 2 (RUFY2), transcript variant 5, non-coding RNA",1
"gi_300934784_ref_NR_034053.2_ Homo sapiens transportin 3 (TNPO3), transcript variant 3, non-coding RNA",1
"gi_685504987_ref_NR_126031.1_ Homo sapiens antizyme inhibitor 2 (AZIN2), transcript variant 7, non-coding RNA",1
"gi_687569864_ref_NR_126051.1_ Homo sapiens lipin 3 (LPIN3), transcript variant 2, non-coding RNA",1
"gi_302148457_ref_NR_036467.1_ Homo sapiens intermediate filament family orphan 1 (IFFO1), transcript variant 7, non-coding RNA",1
"gi_301500673_ref_NR_036437.1_ Homo sapiens potassium channel, voltage gated Shaw related subfamily C, member 4 (KCNC4), transcript variant 4, non-coding RNA",1
"gi_301500694_ref_NR_036439.1_ Homo sapiens cytidine and dCMP deaminase domain containing 1 (CDADC1), transcript variant 3, non-coding RNA",1
"gi_692314728_ref_NR_126069.1_ Homo sapiens zinc finger protein 75a (ZNF75A), transcript variant 3, non-coding RNA",1
"gi_290558672_ref_NR_033361.1_ Homo sapiens transmembrane and coiled-coil domain family 1 (TMCC1), transcript variant 4, non-coding RNA",1
"gi_223468627_ref_NR_026745.1_ Homo sapiens component of oligomeric golgi complex 6 (COG6), transcript variant 3, non-coding RNA",1
"gi_301898124_ref_NR_036448.1_ Homo sapiens dystrobrevin binding protein 1 (DTNBP1), transcript variant 4, non-coding RNA",1
"gi_372220201_ref_NR_045662.3_ Homo sapiens myopalladin (MYPN), transcript variant 2, non-coding RNA",1
"gi_372220202_ref_NR_045663.3_ Homo sapiens myopalladin (MYPN), transcript variant 3, non-coding RNA",1
"gi_387849022_ref_NR_048577.1_ Homo sapiens ADAM metallopeptidase domain 15 (ADAM15), transcript variant 10, non-coding RNA",1
"gi_302370919_ref_NR_036491.1_ Homo sapiens F-box protein 43 (FBXO43), transcript variant 1, non-coding RNA",1
"gi_699045668_ref_NR_126327.1_ Homo sapiens mesoderm development candidate 2 (MESDC2), transcript variant 2, non-coding RNA",1
"gi_387849025_ref_NR_048578.1_ Homo sapiens ADAM metallopeptidase domain 15 (ADAM15), transcript variant 11, non-coding RNA",1
"gi_303304980_ref_NR_036541.1_ Homo sapiens G protein-coupled receptor 89A (GPR89A), transcript variant 3, non-coding RNA",1
"gi_395393978_ref_NR_073024.1_ Homo sapiens ribosomal protein L13a (RPL13A), transcript variant 3, non-coding RNA",1
"gi_387849026_ref_NR_048579.1_ Homo sapiens ADAM metallopeptidase domain 15 (ADAM15), transcript variant 12, non-coding RNA",1
"gi_386869230_ref_NR_048549.1_ Homo sapiens solute carrier family 6 (neurotransmitter transporter, glycine), member 9 (SLC6A9), transcript variant 6, non-coding RNA",1
"gi_295293179_ref_NR_033422.1_ Homo sapiens solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2 (SLC11A2), transcript variant 9, non-coding RNA",1
"gi_282395054_ref_NR_033184.1_ Homo sapiens zinc finger protein 678 (ZNF678), transcript variant 2, non-coding RNA",1
"gi_547235729_ref_NR_104302.1_ Homo sapiens neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase (NEDD4), transcript variant 6, non-coding RNA",1
"gi_289063384_ref_NR_033327.1_ Homo sapiens EF-hand domain (C-terminal) containing 1 (EFHC1), transcript variant B, non-coding RNA",1
"gi_307133766_ref_NR_036625.1_ Homo sapiens voltage-dependent anion channel 1 (VDAC1), transcript variant 2, non-coding RNA",1
"gi_307133765_ref_NR_036624.1_ Homo sapiens voltage-dependent anion channel 1 (VDAC1), transcript variant 3, non-coding RNA",1
"gi_315113871_ref_NR_037654.1_ Homo sapiens 5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase) (MTHFS), transcript variant 3, non-coding RNA",1
"gi_332078498_ref_NR_038167.1_ Homo sapiens fucosyltransferase 8 (alpha (1,6) fucosyltransferase) (FUT8), transcript variant 5, non-coding RNA",1
"gi_358356410_ref_NR_045562.1_ Homo sapiens GULP, engulfment adaptor PTB domain containing 1 (GULP1), transcript variant 4, non-coding RNA",1
"gi_514961968_ref_NR_103766.1_ Homo sapiens MAM domain containing glycosylphosphatidylinositol anchor 2 (MDGA2), transcript variant 3, non-coding RNA",1
"gi_308736977_ref_NR_036684.1_ Homo sapiens carboxylesterase 2 (CES2), transcript variant 3, non-coding RNA",1
"gi_720642992_ref_NR_026648.2_ Homo sapiens biphenyl hydrolase-like (serine hydrolase) (BPHL), transcript variant 4, non-coding RNA",1
"gi_720643001_ref_NR_026649.2_ Homo sapiens biphenyl hydrolase-like (serine hydrolase) (BPHL), transcript variant 2, non-coding RNA",1
"gi_432134278_ref_NR_073544.1_ Homo sapiens axonemal dynein light chain domain containing 1 (AXDND1), transcript variant 2, non-coding RNA",1
"gi_725503343_ref_NR_126526.1_ Homo sapiens uridine-cytidine kinase 1-like 1 (UCKL1), transcript variant 3, non-coding RNA",1
"gi_384871672_ref_NR_047594.1_ Homo sapiens centromere protein J (CENPJ), transcript variant 2, non-coding RNA",1
"gi_725798605_ref_NR_126532.1_ Homo sapiens polycystic kidney disease 1-like 2 (gene/pseudogene) (PKD1L2), transcript variant 1, non-coding, non-coding RNA",1
